(.venv-kvpress) PS C:\Users\qkral\projects\swm-logpress\Part_A\week6\ObservedAttention> python ObservedAttention.py
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:01<00:00,  1.19it/s]

================================================================================
압축률: 0.5
원본 토큰 수: 8174
압축 후 KV 토큰 수: 4087
압축률: 0.5
기준 레이어: 0
생존 unique token 수: 5057
================================================================================
Line 00 | PARTIAL | 33/77 | 1133740692 2005.12.04 dn871 Dec 4 15:58:12 dn871/dn871 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 21 | DROP    | 0/143 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 22 | DROP    | 0/143 | 1133740699 2005.12.04 dn483 Dec 4 15:58:19 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 23 | DROP    | 0/65 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [INFO]: Configuration caused by some ports in INIT state
Line 24 | DROP    | 0/96 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:1103]: Failed discover node test, node 5ad000002756a, port_num= 7, error code 1
Line 25 | DROP    | 0/75 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:470]: Failed to GetNodeInfo() because of NO RESPONSE
Line 26 | DROP    | 0/111 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:490]: Failed to GetNodeInfo() - hop_count: 6, direct_path: 0, 1, 2, 13, 2, 7, 7, 0, 0, 0
Line 27 | DROP    | 0/69 | 1133740699 2005.12.04 tbird-sm1 Dec 4 15:58:19 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change
Line 28 | DROP    | 0/128 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 29 | DROP    | 0/146 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 30 | DROP    | 0/146 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 31 | DROP    | 0/143 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 32 | DROP    | 0/143 | 1133740700 2005.12.04 dn483 Dec 4 15:58:20 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 33 | DROP    | 0/105 | 1133740702 2005.12.04 bn278 Dec 4 15:58:22 bn278/bn278 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 34 | DROP    | 0/65 | 1133740702 2005.12.04 bn278 Dec 4 15:58:22 bn278/bn278 snmpd[7939]: Got trap from peer on fd 13
Line 35 | DROP    | 0/102 | 1133740709 2005.12.04 bn270 Dec 4 15:58:29 bn270/bn270 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previousstate was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
Line 36 | DROP    | 0/65 | 1133740709 2005.12.04 bn270 Dec 4 15:58:29 bn270/bn270 snmpd[7984]: Got trap from peer on fd 13
Line 37 | DROP    | 0/73 | 1133740710 2005.12.04 tbird-sm1 Dec 4 15:58:30 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
Line 38 | DROP    | 0/102 | 1133740711 2005.12.04 bn201 Dec 4 15:58:31 bn201/bn201 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previousstate was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
Line 39 | DROP    | 0/65 | 1133740711 2005.12.04 bn201 Dec 4 15:58:31 bn201/bn201 snmpd[8015]: Got trap from peer on fd 13
Line 40 | DROP    | 0/105 | 1133740712 2005.12.04 bn215 Dec 4 15:58:32 bn215/bn215 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 41 | DROP    | 0/65 | 1133740712 2005.12.04 bn215 Dec 4 15:58:32 bn215/bn215 snmpd[7941]: Got trap from peer on fd 13
Line 42 | DROP    | 0/70 | 1133740712 2005.12.04 tbird-sm1 Dec 4 15:58:32 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1264]: Rediscover the subnet
Line 43 | DROP    | 0/91 | 1133740712 2005.12.04 tbird-sm1 Dec 4 15:58:32 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:411]: IB node 0x0005AD000002756A port 7 is INIT state
Line 44 | DROP    | 0/128 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 45 | DROP    | 0/128 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 46 | DROP    | 0/146 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 47 | DROP    | 0/143 | 1133740713 2005.12.04 dn483 Dec 4 15:58:33 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 48 | DROP    | 0/128 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 49 | DROP    | 0/128 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 50 | DROP    | 0/146 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 51 | DROP    | 0/146 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 52 | DROP    | 0/143 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 53 | PARTIAL | 1/143 | 1133740714 2005.12.04 dn483 Dec 4 15:58:34 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 54 | PARTIAL | 1/65 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [INFO]: Configuration caused by some ports in INIT state
Line 55 | PARTIAL | 3/96 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:1103]: Failed discover node test, node 5ad000002756a, port_num= 7, error code 1
Line 56 | PARTIAL | 4/75 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:470]: Failed to GetNodeInfo() because of NO RESPONSE
Line 57 | PARTIAL | 3/111 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_discovery.c:490]: Failed to GetNodeInfo() - hop_count: 6, direct_path: 0, 1, 1, 13, 2, 7, 7, 0, 0, 0
Line 58 | DROP    | 0/69 | 1133740714 2005.12.04 tbird-sm1 Dec 4 15:58:34 src@tbird-sm1 ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change
Line 59 | PARTIAL | 5/105 | 1133740715 2005.12.04 bn248 Dec 4 15:58:35 bn248/bn248 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
Line 60 | DROP    | 0/65 | 1133740715 2005.12.04 bn248 Dec 4 15:58:35 bn248/bn248 snmpd[7942]: Got trap from peer on fd 13
Line 61 | PARTIAL | 5/77 | 1133740715 2005.12.04 bn525 Dec 4 15:58:35 bn525/bn525 ntpd[2287]: synchronized to 10.100.14.250, stratum 3
Line 62 | PARTIAL | 15/128 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 63 | PARTIAL | 18/128 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state
Line 64 | PARTIAL | 13/66 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: Your time source seems to be instable or some driver is hogging interupts
Line 65 | PARTIAL | 41/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 66 | PARTIAL | 65/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 67 | PARTIAL | 85/146 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][ib_mad_dispatch][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/ts_api_ng/mad/obj_host_amd64_custom1_rhel4/ts_ib_mad/mad_filter.c:292]mad_process failed (0) for InfiniHost0 port 1 QPN 0 (class 0x81, aid 0x0011)
Line 68 | PARTIAL | 97/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 69 | PARTIAL | 136/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 70 | KEEP    | 143/143 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))
Line 71 | KEEP    | 63/63 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: rip __do_softirq+0x4d/0xd0
Line 72 | KEEP    | 54/54 | 1133740715 2005.12.04 dn483 Dec 4 15:58:35 dn483/dn483 kernel: warning: many lost ticks.
Line 73 | KEEP    | 77/77 | 1133740716 2005.12.04 dn706 Dec 4 15:58:36 dn706/dn706 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
Line 74 | KEEP    | 102/102 | 1133740717 2005.12.04 bn171 Dec 4 15:58:37 bn171/bn171 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
--------------------------------------------------------------------------------
KEEP=5, PARTIAL=16, DROP=54
